t,x,y,yaw_deg,v,nearest_idx,target_idx,target_x,target_y,delta_deg,delta_rad
3.95,3.86347,30.14963,-0.84305,8.0,69,89,12.39496,30.0,-0.1172369,-0.0020462
4.0,4.26343,30.14374,-0.85922,8.0,70,90,12.81513,30.0,-0.0752126,-0.0013127
4.05,4.66339,30.13774,-0.8696,8.0,71,91,13.23529,30.0,-0.0369856,-0.0006455
4.1,5.06334,30.13167,-0.8747,8.0,72,92,13.65546,30.0,-0.002375,-4.15e-05
4.15,5.46329,30.12557,-0.87502,8.0,73,93,14.07563,30.0,0.0288019,0.0005027
4.2,5.86325,30.11946,-0.87105,8.0,73,93,14.07563,30.0,0.0273245,0.0004769
4.25,6.2632,30.11338,-0.86728,8.0,74,94,14.4958,30.0,0.0567515,0.0009905
4.3,6.66315,30.10732,-0.85946,8.0,75,95,14.91597,30.0,0.0829465,0.0014477
4.35,7.06311,30.10132,-0.84801,8.0,76,96,15.33613,30.0,0.1060924,0.0018517
4.4,7.46307,30.0954,-0.83338,8.0,77,97,15.7563,30.0,0.126371,0.0022056
4.45,7.86302,30.08958,-0.81595,8.0,78,98,16.17647,30.0,0.1439616,0.0025126
4.5,8.26298,30.08389,-0.79609,8.0,79,99,16.59664,30.0,0.1590405,0.0027758
4.55,8.66294,30.07833,-0.77416,8.0,80,100,17.01681,30.0,0.17178,0.0029981
4.6,9.06291,30.07293,-0.75046,8.0,81,101,17.43697,30.0,0.182348,0.0031826
4.65,9.46287,30.06769,-0.72531,8.0,82,102,17.85714,30.0,0.1909075,0.003332
4.7,9.86284,30.06262,-0.69898,8.0,83,103,18.27731,30.0,0.1976158,0.003449
4.75,10.26281,30.05774,-0.67172,8.0,84,104,18.69748,30.0,0.2026247,0.0035365
4.8,10.66278,30.05305,-0.64377,8.0,85,105,19.11765,30.0,0.2060797,0.0035968
4.85,11.06276,30.04856,-0.61535,8.0,86,106,19.53782,30.0,0.2081201,0.0036324
4.9,11.46274,30.04426,-0.58664,8.0,87,107,19.95798,30.0,0.2088786,0.0036456
4.95,11.86271,30.04017,-0.55783,8.0,88,108,20.37815,30.0,0.2084815,0.0036387
5.0,12.2627,30.03627,-0.52907,8.0,89,109,20.79832,30.0,0.2070485,0.0036137
5.05,12.66268,30.03258,-0.50052,8.0,90,110,21.21849,30.0,0.2046926,0.0035726
5.1,13.06266,30.02909,-0.47228,8.0,91,111,21.63866,30.0,0.2015203,0.0035172
5.15,13.46265,30.02579,-0.44449,8.0,92,112,22.05882,30.0,0.1976316,0.0034493
5.2,13.86264,30.02269,-0.41723,8.0,92,112,22.05882,30.0,0.1875136,0.0032727
5.25,14.26263,30.01977,-0.39136,8.0,93,113,22.47899,30.0,0.1837706,0.0032074
5.3,14.66262,30.01704,-0.36602,8.0,94,114,22.89916,30.0,0.1794178,0.0031314
5.35,15.06261,30.01449,-0.34127,8.0,95,115,23.31933,30.0,0.1745414,0.0030463
5.4,15.4626,30.0121,-0.31719,8.0,96,116,23.7395,30.0,0.169222,0.0029535
5.45,15.8626,30.00989,-0.29385,8.0,97,117,24.15966,30.0,0.163534,0.0028542
5.5,16.26259,30.00784,-0.2713,8.0,98,118,24.57983,30.0,0.1575465,0.0027497
5.55,16.66259,30.00594,-0.24957,8.0,99,119,25.0,30.0,0.151323,0.0026411
5.6,17.06258,30.0042,-0.22869,8.0,100,121,25.95184,29.9849,0.0755918,0.0013193
5.65,17.46258,30.0026,-0.21827,8.0,101,121,25.95184,29.9849,0.0715943,0.0012496
5.7,17.86258,30.00108,-0.20839,8.0,102,121,25.95184,29.9849,0.0679751,0.0011864
5.75,18.26257,29.99963,-0.19902,8.0,103,122,26.90272,29.9396,-0.1442945,-0.0025184
5.8,18.66257,29.99824,-0.21892,8.0,104,122,26.90272,29.9396,-0.1368694,-0.0023888
5.85,19.06257,29.99671,-0.2378,8.0,105,123,27.85168,29.86416,-0.4539958,-0.0079237
5.9,19.46257,29.99505,-0.30042,8.0,106,123,27.85168,29.86416,-0.4302428,-0.0075092
5.95,19.86256,29.99295,-0.35976,8.0,107,124,28.79777,29.75864,-0.8280895,-0.0144529
6.0,20.26255,29.99044,-0.47399,8.0,108,124,28.79777,29.75864,-0.7840883,-0.0136849
6.05,20.66254,29.98713,-0.58215,8.0,109,124,28.79777,29.75864,-0.7442283,-0.0129892
6.1,21.06252,29.98307,-0.68481,8.0,110,125,29.74004,29.62317,-1.2250079,-0.0213804
6.15,21.46249,29.97829,-0.8538,8.0,111,125,29.74004,29.62317,-1.1616934,-0.0202754
6.2,21.86244,29.97232,-1.01405,8.0,112,126,30.67754,29.45786,-1.6854276,-0.0294163
6.25,22.26238,29.96525,-1.24659,8.0,112,126,30.67754,29.45786,-1.5969699,-0.0278724
6.3,22.66229,29.95654,-1.46692,8.0,113,126,30.67754,29.45786,-1.5169105,-0.0264751
6.35,23.06216,29.9463,-1.6762,8.0,114,127,31.60932,29.26289,-2.0972657,-0.0366042
6.4,23.46199,29.9346,-1.96561,8.0,115,127,31.60932,29.26289,-1.9903763,-0.0347386
6.45,23.86175,29.92088,-2.24025,8.0,116,128,32.53444,29.03846,-2.5844178,-0.0451066
6.5,24.26144,29.90525,-2.59697,8.0,117,128,32.53444,29.03846,-2.4506675,-0.0427722
6.55,24.66103,29.88712,-2.93519,8.0,118,128,32.53444,29.03846,-2.3297256,-0.0406614
6.6,25.06051,29.86664,-3.25671,8.0,120,129,33.45198,28.78479,-2.9597331,-0.0516571
6.65,25.45986,29.84392,-3.66532,8.0,120,129,33.45198,28.78479,-2.8112148,-0.049065
6.7,25.85904,29.81835,-4.05338,8.0,121,130,34.361,28.50213,-3.4334346,-0.0599247
6.75,26.25804,29.79007,-4.52753,8.0,121,130,34.361,28.50213,-3.2584419,-0.0568705
6.8,26.6568,29.7585,-4.97745,8.0,122,131,35.2606,28.19078,-3.8666843,-0.0674864
6.85,27.05529,29.72379,-5.5116,8.0,122,131,35.2606,28.19078,-3.6667011,-0.063996
6.9,27.45344,29.68537,-6.01804,8.0,123,132,36.14987,27.85104,-4.2568497,-0.074296
6.95,27.85123,29.64344,-6.60628,8.0,123,132,36.14987,27.85104,-4.0336115,-0.0703998
7.0,28.24858,29.59742,-7.16356,8.0,123,132,36.14987,27.85104,-3.8311788,-0.0668667
7.05,28.64546,29.54754,-7.69279,8.0,124,133,37.02792,27.48325,-4.4353376,-0.0774112
7.1,29.04186,29.49399,-8.30578,8.0,124,133,37.02792,27.48325,-4.2093157,-0.0734664
7.15,29.43766,29.43621,-8.88742,8.0,125,134,37.89385,27.0878,-4.7872815,-0.0835538
7.2,29.83286,29.37441,-9.54928,8.0,125,134,37.89385,27.0878,-4.5397473,-0.0792335
7.25,30.22731,29.30805,-10.17676,8.0,126,135,38.7468,26.66506,-5.0911361,-0.0888571
7.3,30.62102,29.23738,-10.88084,8.0,126,135,38.7468,26.66506,-4.8241967,-0.0841981
7.35,31.01383,29.16187,-11.54783,8.0,126,135,38.7468,26.66506,-4.5818924,-0.0799691
7.4,31.40573,29.0818,-12.18116,8.0,127,136,39.5859,26.21548,-5.1415019,-0.0897361
7.45,31.79673,28.9974,-12.89225,8.0,127,136,39.5859,26.21548,-4.8792589,-0.0851591
7.5,32.18664,28.90815,-13.56688,8.0,128,137,40.41032,25.7395,-5.4095778,-0.0944149
7.55,32.57548,28.81432,-14.31525,8.0,128,137,40.41032,25.7395,-5.1295625,-0.0895278
7.6,32.96306,28.71541,-15.02467,8.0,129,138,41.21922,25.23761,-5.6322623,-0.0983015
7.65,33.34939,28.61172,-15.80405,8.0,129,138,41.21922,25.23761,-5.3365553,-0.0931405
7.7,33.73427,28.50278,-16.54226,8.0,129,138,41.21922,25.23761,-5.0679001,-0.0884515
7.75,34.11771,28.38889,-17.24311,8.0,130,139,42.0118,24.7103,-5.5782766,-0.0973593
7.8,34.49973,28.27032,-18.01497,8.0,130,139,42.0118,24.7103,-5.2930428,-0.092381
7.85,34.88012,28.14661,-18.74713,8.0,131,140,42.78724,24.15811,-5.7760056,-0.1008103
7.9,35.2589,28.01806,-19.54653,8.0,131,140,42.78724,24.15811,-5.4762064,-0.0955778
7.95,35.63585,27.88423,-20.30418,8.0,131,140,42.78724,24.15811,-5.2040744,-0.0908282
8.0,36.011,27.74543,-21.02396,8.0,132,141,43.54477,23.58159,-5.6941347,-0.0993814
8.05,36.38437,27.60192,-21.81195,8.0,132,141,43.54477,23.58159,-5.4064816,-0.0943609
8.1,36.75573,27.4533,-22.5599,8.0,133,142,44.28363,22.98133,-5.870116,-0.1024529
8.15,37.12512,27.29984,-23.37241,8.0,133,142,44.28363,22.98133,-5.5688587,-0.0971949
8.2,37.4923,27.14116,-24.14296,8.0,134,143,45.00307,22.35793,-6.0087952,-0.1048733
8.25,37.85731,26.97755,-24.97481,8.0,134,143,45.00307,22.35793,-5.6957146,-0.099409
8.3,38.21991,26.80866,-25.76302,8.0,134,143,45.00307,22.35793,-5.4113177,-0.0944453
8.35,38.58015,26.6348,-26.51164,8.0,135,144,45.70237,21.71202,-5.8611842,-0.102297
8.4,38.93809,26.45625,-27.32291,8.0,135,144,45.70237,21.71202,-5.56365,-0.097104
8.45,39.29346,26.27265,-28.09273,8.0,136,145,46.38083,21.04425,-5.9915789,-0.1045728
8.5,39.64634,26.08429,-28.92218,8.0,136,145,46.38083,21.04425,-5.6825741,-0.0991796
8.55,39.99645,25.89084,-29.70857,8.0,137,146,47.03775,20.35528,-6.0912554,-0.1063125
8.6,40.34387,25.69261,-30.55192,8.0,137,146,47.03775,20.35528,-5.7723078,-0.1007458
8.65,40.68834,25.48928,-31.3508,8.0,137,146,47.03775,20.35528,-5.4824071,-0.0956861
8.7,41.02994,25.28117,-32.10931,8.0,138,147,47.67249,19.64582,-5.9044428,-0.103052
8.75,41.36875,25.06855,-32.92662,8.0,138,147,47.67249,19.64582,-5.6029879,-0.0977906
8.8,41.7045,24.85113,-33.70191,8.0,139,148,48.28439,18.91658,-6.0074026,-0.104849
8.85,42.03727,24.62918,-34.53357,8.0,139,148,48.28439,18.91658,-5.6958284,-0.099411
8.9,42.36679,24.40242,-35.3218,8.0,139,148,48.28439,18.91658,-5.4129266,-0.0944734
8.95,42.69316,24.17116,-36.07064,8.0,140,149,48.87286,18.16829,-5.8311297,-0.1017724
9.0,43.01647,23.93564,-36.87772,8.0,140,149,48.87286,18.16829,-5.5365167,-0.0966304
9.05,43.33644,23.6956,-37.64377,8.0,141,150,49.43728,17.40171,-5.9382243,-0.1036416
9.1,43.65317,23.4513,-38.46578,8.0,141,150,49.43728,17.40171,-5.6332684,-0.0983191
9.15,43.96636,23.20248,-39.24529,8.0,142,151,49.9771,16.6176,-6.0205655,-0.1050787
9.2,44.27614,22.94942,-40.07879,8.0,142,151,49.9771,16.6176,-5.7065275,-0.0995977
9.25,44.5822,22.69189,-40.86851,8.0,142,151,49.9771,16.6176,-5.4212256,-0.0946182
9.3,44.88469,22.43016,-41.6185,8.0,143,152,50.49176,15.81676,-5.8249229,-0.1016641
9.35,45.18372,22.16449,-42.42472,8.0,143,152,50.49176,15.81676,-5.5287525,-0.0964949
9.4,45.47899,21.89464,-43.18968,8.0,144,153,50.98076,15.0,-5.9188056,-0.1033026
9.45,45.77062,21.62088,-44.00898,8.0,144,153,50.98076,15.0,-5.6129867,-0.0979651
9.5,46.05832,21.34297,-44.78567,8.0,145,154,51.4436,14.16813,-5.9911769,-0.1045658
9.55,46.34222,21.06118,-45.61507,8.0,145,154,51.4436,14.16813,-5.6768339,-0.0990794
